,Gold (GC=F),Silver (SI=F),Crude Oil (CL=F),Bitcoin (BTC-USD),Ethereum (ETH-USD),USD Index (DX-Y.NYB)
Gold (GC=F),1.0,0.7993036163115016,0.13112728182576622,0.09100814226301264,0.0812865987163803,-0.4220659819845136
Silver (SI=F),0.7993036163115016,1.0,0.1652633501973564,0.12370315354819075,0.12590330420826176,-0.40365561486278523
Platinum (PL=F),0.5731229429359285,0.6355765641071767,0.216179131527586,0.13981516030820504,0.13068884460213104,-0.4189070201737828
Palladium (PA=F),0.38128132100617346,0.4468890612806414,0.1907685348500516,0.10274468920635824,0.09797012898678016,-0.30018052812792906
Crude Oil (CL=F),0.1311272818257662,0.1652633501973564,1.0,0.10651555885156765,0.10196625820563905,-0.0715926082483144
Brent Oil (BZ=F),0.12244819872348464,0.1642950791312088,0.8852407243689847,0.10868230295788792,0.10999577389221919,-0.08515674422827334
Natural Gas (NG=F),-0.006309149338477536,0.004712484817851072,0.11662315817882586,-0.020854548173313527,-0.01325459639512702,-0.021416237035299605
Heating Oil (HO=F),0.11883052997085893,0.13113875352179388,0.6526885897629465,0.07370108023440965,0.08457106360884468,-0.05353943992209077
RBOB Gasoline (RB=F),0.15554649802531326,0.17839066995220887,0.7215668826425196,0.16183384007632498,0.15472242737211106,-0.11927101861709423
Copper (HG=F),0.2582023584861707,0.3553345780471549,0.2857277015218318,0.10154056714398618,0.1227677781027235,-0.3482984420464925
Aluminum (ALI=F),0.12442052023769332,0.17762986762917532,0.20844076321770255,0.13406557608632821,0.13240457626543226,-0.17508274133218737
Corn (ZC=F),0.0975377828926507,0.12403195078962223,0.18019848776596126,0.02804955154177441,0.026637674215615064,-0.01965527035720327
Wheat (ZW=F),0.0831950710890427,0.11463223116491864,0.14011277455133625,0.012027317346648012,0.03491929828315756,-0.04074346450886982
Soybeans (ZS=F),0.14342926576210072,0.15570300544671778,0.18332834692007702,0.027972357520172412,0.04733846520457966,-0.11296238714425562
Soybean Oil (ZL=F),0.14968717016343994,0.1846302501084067,0.24201268561407657,0.11005111755473845,0.11361878622960855,-0.1126641140014056
Soybean Meal (ZM=F),0.07892250604956205,0.056089784328369294,0.06773992281941417,-0.035392717657275606,-0.02344232643700688,-0.03920398196645176
Oats (ZO=F),0.054633322856769057,0.05377415283783365,0.08430900102456819,0.028563806462836787,0.027923663919065207,-0.023591569521762105
Rice (ZR=F),-0.004607234113276716,-0.01766640365326878,0.0464363192765716,0.02281674861366079,-0.0060997585269323,-0.012671189187881564
Coffee (KC=F),0.11963257584064486,0.1443231213177348,0.12372259771512373,0.04265501259272711,0.05692616058054021,-0.1129070514254201
Sugar (SB=F),0.10582845040705423,0.13518096591480278,0.24235728508233778,0.04847161475343888,0.09507112942420493,-0.06334827216075362
Cotton (CT=F),0.07495681839166127,0.12360043055658639,0.2033667661715207,0.06800831751335233,0.046225484111333884,-0.11125406709657745
Cocoa (CC=F),0.09569055346020357,0.11315112377436343,0.09153474148337784,0.026098388069373046,0.05349422611463002,-0.16732582870236778
Orange Juice (OJ=F),0.08873710502920919,0.10720936710104764,0.04047520963161313,0.02806516088489097,0.05346159488325914,-0.01961353474013129
Live Cattle (LE=F),0.04839763001677189,0.1084943877988343,0.0363904645352409,0.053133668078539864,0.04043331580724302,-0.06924105160839343
Feeder Cattle (GF=F),0.014390072641685037,0.041893958260031214,0.0009841283068723846,0.07328039065215261,0.037457437888205394,-0.00782092046002026
Lean Hogs (HE=F),0.005591605552417653,0.007193807460868592,0.035294683515809465,-0.008344625923867014,-0.0071416452090597845,0.01126426080017576
Lumber (LBS=F),0.029624054810714534,0.04030098573230184,0.05084681590081531,0.04771651065132456,0.04885489251940682,-0.049600916112952864
